clave_res,FECHA,Hombre_ingreso,Mujer_ingreso,Total_Ingresos_Respiratorios_COVID,Hombres_Recuperados,Mujeres_Recuperadas,Total_Recuperados,Hombre_defuncion,Mujer_defuncion,Total_Defunciones,Hombre_ambulatorio,Mujer_ambulatorio,Total_ambulatorio,Hombre_hospitalizado,Mujer_hospitalizado,Total_hospitalizado,Temperatura Promedio,Humedad relativa Promedio,PM25 Promedio,PM10 Promedio,O3 Promedio,SO2 Promedio,CO Promedio,NO2 Promedio,NOX Promedio,NO Promedio,Temperatura Máxima,Humedad relativa Máxima,PM25 Máxima,PM10 Máxima,O3 Máxima,NO Máxima,NOX Máxima,NO2 Máxima,CO Máxima,SO2 Máxima,Temperatura Minima,Humedad relativa Minima,LAT_DECIMAL,LON_DECIMAL,ALTITUD
090060001,01/02/2009,14,11,25,14,11,25,0,0,0,2,1,3,12,10,22,15.57529,44.17051,28.9172,67.95875,29.10028,10.71344,1.23329,40.78945,77.16586,36.52694,28.16965,93.57256,93.78274,364.66229,171.34103,343.49304,411.50357,411.50357,6.16987,113.86708,3.41919,4.90866,19.395901,-99.097612,2233
090160001,01/02/2009,7,3,10,7,3,10,0,0,0,2,0,2,5,3,8,15.28536,43.96152,29.91375,58.57732,28.4241,9.7944,1.24165,39.83612,71.89908,32.23301,27.55467,90.59047,95.43487,316.68315,159.54524,354.1439,416.74645,416.74645,6.51335,112.87636,3.1458,4.04163,19.407269,-99.190754,2264
090050001,01/02/2009,40,54,94,38,52,90,2,2,4,6,9,15,34,45,79,15.53556,43.93153,30.06425,77.55202,25.78026,9.67001,1.2062,39.19944,80.01783,40.95319,28.15825,91.49404,98.44054,542.68985,160.9567,382.05245,435.03333,435.03333,6.05262,112.1226,3.05538,4.97631,19.482945,-99.113471,2229
090080001,01/02/2009,9,6,15,9,6,15,0,0,0,2,0,2,7,6,13,14.70541,43.03246,29.62229,52.4226,32.45396,8.11115,0.93442,37.34673,61.80643,24.85632,26.43995,86.60489,101.93269,285.87506,169.51009,280.03758,341.32715,341.32715,5.09927,94.55702,3.37471,3.73024,19.304898,-99.241515,2520
090140001,01/02/2009,3,5,8,2,4,6,1,1,2,1,1,2,2,4,6,15.21512,43.83499,28.77413,59.72232,28.75041,9.63531,1.20845,40.64627,75.63698,35.14084,27.46308,90.2831,92.7635,323.84592,164.26689,338.68174,400.19336,400.19336,6.11731,108.92164,3.30742,4.3571,19.371992,-99.157853,2238
090150001,01/02/2009,30,16,46,28,13,41,2,3,5,9,2,11,21,14,35,15.59683,44.14449,30.25551,70.67727,24.60892,10.55906,1.33959,41.56885,82.35934,40.79671,28.13966,93.23923,91.04195,411.5717,167.17264,370.33631,419.17933,419.17933,5.78855,100.79544,3.39901,4.71079,19.441646,-99.151884,2230
090100001,01/02/2009,14,11,25,14,11,25,0,0,0,0,1,1,14,10,24,15.12328,43.71123,29.58413,51.58822,27.45414,10.02932,1.26825,39.66336,69.60204,30.05567,27.25396,89.5525,95.95995,272.00549,147.89176,366.94174,429.28313,429.28313,7.09941,106.8454,3.19403,3.96742,19.390806,-99.195413,2308
090040001,01/02/2009,4,6,10,4,6,10,0,0,0,1,2,3,3,4,7,13.72642,41.04978,30.04671,58.63338,34.52269,9.36304,1.13478,38.26408,68.04026,29.98677,24.69433,87.07471,103.6718,315.70469,175.6644,324.38153,383.00273,383.00273,5.92075,113.14099,2.80905,2.06506,19.35735,-99.299792,2780
090030001,01/02/2009,16,12,28,16,11,27,0,1,1,3,1,4,13,11,24,15.01695,43.59485,28.51546,56.63703,29.18449,8.89978,1.14581,40.47327,74.76441,34.47801,27.06553,88.33184,91.12965,301.58819,166.70738,321.07436,379.74152,379.74152,5.69214,107.99954,3.36615,4.18542,19.350214,-99.162146,2247
090070001,01/02/2009,47,57,104,42,51,93,5,6,11,4,1,5,43,56,99,15.31374,44.29679,27.85526,64.82278,30.42026,9.98139,1.26782,39.00162,71.88372,33.31021,27.82873,91.78357,83.49475,354.19098,159.03937,311.02929,376.76306,376.76306,5.80137,124.69611,3.10109,4.8064,19.359004,-99.092622,2242
090130001,01/02/2009,21,25,46,19,25,44,2,0,2,4,4,8,17,21,38,15.05071,44.42821,29.72494,61.90812,30.24502,8.31616,1.15596,40.35387,75.87138,35.7321,27.40781,89.32976,109.09899,320.17352,160.18042,305.74418,363.68354,363.68354,5.35526,112.20419,3.04953,4.88208,19.263462,-99.104913,2237
090090001,01/02/2009,6,5,11,5,5,10,1,0,1,2,0,2,4,5,9,15.08249,45.12439,30.78971,68.37192,33.08771,6.62772,1.18093,39.30788,73.50674,34.41628,27.59182,88.81598,127.8434,308.15378,160.1881,316.01558,374.67509,374.67509,5.65222,97.37092,3.09554,5.66542,19.191249,-99.023371,2429
090120001,01/02/2009,18,15,33,18,15,33,0,0,0,6,3,9,12,12,24,14.89448,43.51497,29.26035,55.31393,31.66897,8.36836,1.00377,39.50278,71.19333,31.9157,26.85219,87.32767,100.0127,264.70095,165.15373,291.29755,348.6075,348.6075,4.87055,113.30162,3.36381,4.1432,19.288275,-99.167125,2280
090110001,01/02/2009,9,4,13,9,4,13,0,0,0,0,0,0,9,4,13,15.10269,45.25535,31.52729,70.36425,34.92786,5.45628,1.20392,39.41378,73.66445,34.47749,27.61025,88.33273,141.3433,289.35357,161.44621,312.30745,372.21722,372.21722,5.69415,90.32363,3.21699,5.90323,19.270566,-99.004846,2249
090020001,01/02/2009,28,24,52,28,24,52,0,0,0,5,3,8,23,21,44,15.5463,44.4799,31.58681,72.20714,28.89922,10.82026,1.23805,39.10331,68.25352,29.29082,27.90371,92.08061,90.78715,384.09049,164.51927,319.65286,379.21465,379.21465,6.17906,125.41599,3.11877,4.15158,19.484102,-99.18436,2244
090170001,01/02/2009,16,14,30,16,14,30,0,0,0,7,2,9,9,12,21,15.76507,44.05217,28.3966,71.35021,24.59176,11.98164,1.55215,44.31963,90.15709,45.97525,28.38335,94.88723,86.12095,369.56804,175.26812,378.61088,427.87291,427.87291,6.16021,126.39437,3.77068,4.99093,19.419261,-99.113701,2229

090080001,01/03/2009,10,2,12,10,2,12,0,0,0,3,1,4,7,1,8,16.50987,36.09268,26.84001,50.21606,33.85831,4.91316,0.72321,29.66371,46.84323,17.95811,27.93887,80.42151,95.34343,219.33391,161.67392,208.26913,254.25751,254.25751,3.64739,64.51703,5.09099,3.21094,19.304898,-99.241515,2520
090170001,01/03/2009,14,12,26,13,11,24,1,1,2,1,2,3,13,10,23,17.97596,36.59471,21.87521,62.78281,26.70647,7.91621,0.88066,37.13858,73.1079,36.19043,29.29093,97.81745,65.32776,283.11561,154.80009,312.97164,368.79501,368.79501,4.32942,107.42971,4.59279,4.00526,19.419261,-99.113701,2229
090090011,01/03/2009,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,16.85889,38.78257,26.73058,63.93706,34.76436,3.34044,0.95827,32.6333,58.62696,26.22115,29.86188,90.16853,121.68544,340.92432,137.50967,252.09335,303.22815,303.22815,4.47007,55.29574,5.14909,4.92343,19.217537,-98.993717,2258
090050001,01/03/2009,60,37,97,56,36,92,4,1,5,11,5,16,49,32,81,17.43501,37.81987,26.51612,65.76982,28.03833,6.6175,0.88967,33.28975,65.4818,32.36586,29.04923,93.55539,81.32824,227.43948,155.52904,309.50458,358.74779,358.74779,4.22389,97.78588,4.45252,4.24949,19.482945,-99.113471,2229
090120001,01/03/2009,34,21,55,31,19,50,3,2,5,7,4,11,27,17,44,16.73201,36.32173,26.61979,53.43938,32.41234,5.32302,0.776,31.96323,53.66321,22.08504,28.31735,82.09183,98.32787,246.25636,151.1499,275.24092,322.48729,322.48729,4.15608,59.92808,4.98963,3.42802,19.288275,-99.167125,2280
090140001,01/03/2009,5,1,6,5,1,6,0,0,0,0,0,0,5,1,6,17.16996,36.80658,26.68718,55.951,30.46436,6.26553,0.90078,33.34398,59.16455,26.04826,28.74753,88.70812,90.49735,230.52313,157.78073,253.96483,304.38661,304.38661,4.5404,78.34027,4.72879,3.72437,19.371992,-99.157853,2238
090040001,01/03/2009,2,4,6,2,4,6,0,0,0,0,0,0,2,4,6,15.37234,36.56631,27.1716,55.07107,36.98571,5.75766,0.88927,31.29095,53.78218,22.84748,26.29161,83.13587,92.8355,242.43146,161.69196,249.30826,295.57123,295.57123,4.4174,78.46404,5.08681,3.0205,19.35735,-99.299792,2780
090020001,01/03/2009,33,23,56,32,21,53,1,2,3,5,2,7,28,21,49,17.55422,38.11335,31.42918,62.74712,31.28958,5.65065,0.96734,31.46111,53.57997,22.30702,29.4084,93.55095,77.53073,266.73668,161.11158,260.62339,304.47909,304.47909,4.45489,110.05828,4.59916,4.14966,19.484102,-99.18436,2244
090160001,01/03/2009,5,6,11,5,6,11,0,0,0,2,0,2,3,6,9,17.24473,37.26026,27.36084,55.35306,31.36802,5.85235,0.91518,32.4835,56.52013,24.3031,28.94967,90.02266,85.42239,229.78423,162.61513,258.16788,305.68622,305.68622,4.69222,80.5325,4.65795,3.72719,19.407269,-99.190754,2264
090030001,01/03/2009,28,24,52,28,23,51,0,1,1,8,6,14,20,18,38,16.90069,36.43377,27.02844,54.05946,29.62207,5.7779,0.87713,32.93499,57.7194,25.09481,28.4545,84.23314,90.10599,235.98616,154.47398,257.32626,306.37158,306.37158,4.44296,67.70232,4.90653,3.4953,19.350214,-99.162146,2247
090110001,01/03/2009,11,9,20,11,8,19,0,1,1,2,2,4,9,7,16,16.86223,38.8096,26.7192,64.04787,34.91087,3.28345,0.95574,32.80184,58.83168,26.23789,29.89493,90.16668,128.91843,342.82049,137.34006,245.70236,297.86905,297.86905,4.4216,55.22871,5.17922,4.94392,19.270566,-99.004846,2249
090090001,01/03/2009,5,4,9,5,3,8,0,1,1,2,2,4,3,2,5,16.85825,38.59396,26.66901,62.39016,33.48137,4.2006,0.93986,32.6159,58.44724,26.07118,29.67649,90.18266,117.05976,317.10544,140.91466,253.30752,304.09895,304.09895,4.41743,62.81283,4.99432,4.79578,19.191249,-99.023371,2429
090070001,01/03/2009,77,56,133,74,52,126,3,4,7,13,7,20,64,49,113,17.28466,37.31308,25.23974,58.95565,31.89499,6.73922,0.98118,32.2869,56.32407,24.2909,29.0116,92.34416,127.83793,248.82597,158.91444,209.02149,267.29901,267.29901,4.21833,91.03232,4.47432,4.10559,19.359004,-99.092622,2242
090060001,01/03/2009,12,6,18,11,6,17,1,0,1,1,0,1,11,6,17,17.67573,36.98753,24.54275,60.89649,31.0726,7.22872,0.87396,34.00601,60.87761,27.0057,29.17042,95.59172,94.45676,229.36842,161.26147,248.26582,304.21731,304.21731,4.32968,97.31222,4.49816,4.07229,19.395901,-99.097612,2233
090130001,01/03/2009,29,16,45,29,15,44,0,1,1,8,1,9,21,15,36,16.88776,37.6416,26.36829,57.54399,31.26487,5.66343,0.91237,33.27715,59.47943,26.4587,29.02069,88.52951,110.12898,265.53353,147.19342,257.8424,308.95948,308.95948,4.356,70.98688,4.7518,4.19533,19.263462,-99.104913,2237
090100001,01/03/2009,21,14,35,18,13,31,3,1,4,1,0,1,20,14,34,17.03964,36.955,27.00434,51.33185,31.86953,5.76941,0.91276,31.94939,54.30793,22.55486,28.67224,87.5246,88.20217,204.70265,167.04418,248.69927,294.05472,294.05472,5.01517,69.65693,4.76417,3.59877,19.390806,-99.195413,2308
090090260,01/03/2009,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,16.8637,38.19778,26.55454,59.93011,32.3323,5.05623,0.91713,32.73693,58.35629,25.88023,29.36891,89.63556,112.6234,287.20067,144.57222,253.70712,304.38342,304.38342,4.35681,69.38845,4.847,4.53411,19.207135,-99.079148,2630
090150001,01/03/2009,27,17,44,24,15,39,3,2,5,5,3,8,22,14,36,17.68625,37.14852,27.65528,62.26017,26.357,6.9472,0.9921,35.32419,66.62435,31.44408,29.22253,95.19684,76.66384,253.80641,155.83551,280.90252,326.27433,326.27433,4.58085,97.83811,4.5437,4.02613,19.441646,-99.151884,2230

090160001,01/04/2009,6,4,10,6,3,9,0,1,1,0,1,1,6,3,9,19.75053,34.62146,27.56486,57.047,36.63228,5.39388,0.8321,30.03109,48.60095,18.76875,29.97768,81.53055,93.23214,254.91062,134.6455,227.14877,278.82791,278.82791,4.21092,72.34946,8.81973,5.03293,19.407269,-99.190754,2264
090030001,01/04/2009,16,13,29,16,11,27,0,2,2,3,4,7,13,9,22,19.30621,34.46198,28.78494,55.16874,35.17665,4.52703,0.76616,29.01523,47.61428,18.75081,29.386,78.01364,89.14909,277.51233,115.66596,212.79696,267.45421,267.45421,3.81324,58.21134,8.78333,5.04103,19.350214,-99.162146,2247
090150001,01/04/2009,37,19,56,36,17,53,1,2,3,6,4,10,31,15,46,20.24234,34.31414,26.58771,63.57213,32.26527,5.73061,0.85176,32.64166,56.91522,24.47416,30.45836,84.79833,90.56825,298.77244,130.60686,258.46054,314.22912,314.22912,4.69913,68.4638,9.24641,4.61384,19.441646,-99.151884,2230
090170001,01/04/2009,23,11,34,22,10,32,1,1,2,4,3,7,19,8,27,20.44155,34.16754,21.47058,64.57721,32.09615,7.65822,0.76689,33.59267,60.2265,26.94818,30.58908,87.78765,65.50121,338.39353,138.22676,272.99423,319.78046,319.78046,5.47715,71.9724,9.67156,4.03714,19.419261,-99.113701,2229
090140001,01/04/2009,4,12,16,4,12,16,0,0,0,0,3,3,4,9,13,19.6491,34.44011,28.14513,56.63593,36.04097,4.94612,0.81016,29.9369,49.02623,19.25038,29.78966,80.80976,90.57308,264.83364,125.83915,222.20749,276.17139,276.17139,4.08832,61.49084,8.9124,4.91797,19.371992,-99.157853,2238
090070001,01/04/2009,97,71,168,84,59,143,13,12,25,16,11,27,81,60,141,19.90482,34.46117,27.79435,58.98451,38.6123,4.3772,0.79008,28.61174,45.81018,17.44909,30.13944,82.50986,137.66464,292.4617,130.24327,215.50621,268.93243,268.93243,4.50983,45.87438,8.93353,5.07152,19.359004,-99.092622,2242
090050001,01/04/2009,69,59,128,64,55,119,5,4,9,11,11,22,58,48,106,20.24491,33.80644,26.71043,66.95796,33.63836,5.71868,0.74259,31.29268,55.6919,24.5808,30.47281,80.75101,84.65966,286.05041,132.6245,287.80227,342.04175,342.04175,4.49304,60.27045,8.99849,5.05303,19.482945,-99.113471,2229
090080001,01/04/2009,7,6,13,6,6,12,1,0,1,1,1,2,6,5,11,18.82968,34.45624,28.05649,52.83469,39.24264,4.23595,0.60962,25.57584,38.85574,13.54841,28.75909,76.598,95.59261,237.75055,131.94196,167.50828,225.91391,225.91391,3.21597,67.47488,8.52194,5.07945,19.304898,-99.241515,2520
090130001,01/04/2009,23,16,39,20,15,35,3,1,4,3,4,7,20,12,32,19.42166,34.96244,27.99663,58.2128,37.18353,4.10287,0.75359,29.32929,48.8938,19.70651,29.75147,80.26736,105.8905,301.30833,126.71402,223.31304,277.60739,277.60739,3.98298,48.84283,8.48696,6.07429,19.263462,-99.104913,2237
090060001,01/04/2009,12,8,20,10,8,18,2,0,2,1,1,2,11,7,18,20.24286,34.25319,25.50312,60.29267,36.61842,5.32795,0.77047,30.49462,50.01887,19.68696,30.43372,85.33147,95.78833,254.69935,132.28549,235.76991,288.85886,288.85886,4.46194,57.04435,9.33379,4.48207,19.395901,-99.097612,2233
090090001,01/04/2009,5,10,15,4,9,13,1,1,2,1,1,2,4,9,13,19.36479,35.66378,28.23079,62.01783,39.88695,2.89731,0.80203,29.31658,48.57926,19.41549,29.97227,81.613,104.54302,284.96783,131.50451,227.86509,281.41969,281.41969,4.10941,41.44242,8.20655,7.39792,19.191249,-99.023371,2429
090100001,01/04/2009,30,17,47,26,14,40,4,3,7,3,2,5,27,15,42,19.49848,34.57539,27.69961,53.50117,37.52291,5.52849,0.90559,29.4583,46.46412,17.17152,29.64418,80.2463,92.72304,226.04965,136.06968,201.94992,253.1727,253.1727,3.9679,75.70084,8.73198,5.04869,19.390806,-99.195413,2308
090110001,01/04/2009,10,9,19,10,8,18,0,1,1,4,2,6,6,7,13,19.31722,35.89095,28.53711,63.04426,41.74533,1.94887,0.81157,29.39114,48.61862,19.38161,30.00197,81.90284,109.29192,281.70964,134.58773,227.16456,280.6312,280.6312,4.20297,33.32352,8.13738,7.8067,19.270566,-99.004846,2249
090020001,01/04/2009,23,21,44,23,21,44,0,0,0,3,6,9,20,15,35,20.15209,34.75467,29.74378,64.76267,35.33253,5.39747,0.80876,29.83123,47.53227,17.88902,30.48242,82.16062,105.09639,314.69839,136.86122,239.47892,287.31247,287.31247,4.42076,73.0934,8.58097,5.7211,19.484102,-99.18436,2244
090120001,01/04/2009,29,22,51,26,18,44,3,4,7,7,6,13,22,16,38,19.10792,34.51331,28.09585,55.02664,38.27935,4.28844,0.61804,27.21874,44.80913,17.68768,29.16745,76.68323,97.17621,290.64069,126.63455,202.64283,256.13615,256.13615,3.42964,51.88064,8.6738,5.19747,19.288275,-99.167125,2280
090040001,01/04/2009,2,2,4,2,1,3,0,1,1,1,0,1,1,2,3,17.65969,34.35222,28.24057,57.05917,44.50511,4.99386,0.78566,29.23489,46.48301,17.41043,26.99762,83.83807,95.56075,261.10672,131.94334,210.47854,264.01112,264.01112,3.88956,69.22561,7.34653,5.00806,19.35735,-99.299792,2780
090100001,01/05/2009,17,24,41,13,23,36,4,1,5,0,9,9,17,15,32,19.00438,47.66642,26.61502,50.66807,38.46278,4.61434,0.74758,29.1463,43.11256,14.11477,30.15871,90.61444,91.76025,212.44915,153.34135,188.80227,239.24475,239.24475,4.35718,76.27519,10.83197,5.07182,19.390806,-99.195413,2308
090070001,01/05/2009,47,37,84,46,33,79,1,4,5,10,8,18,37,29,66,19.42635,47.40095,24.93662,50.26601,40.10443,3.76909,0.93004,30.12681,46.29924,16.45254,31.11436,92.27238,92.49584,292.48169,140.24672,178.49645,228.6189,228.6189,3.99202,59.01495,11.28288,5.17088,19.359004,-99.092622,2242
090170001,01/05/2009,13,7,20,12,7,19,1,0,1,4,2,6,9,5,14,19.97801,46.95592,24.02685,53.0994,33.41254,5.93388,0.77922,32.77496,52.6259,20.30547,32.35675,92.94013,83.15802,271.07817,141.06484,249.51348,296.50046,296.50046,3.59237,101.30558,11.97469,5.00248,19.419261,-99.113701,2229
090160001,01/05/2009,1,4,5,1,4,5,0,0,0,0,2,2,1,2,3,19.23889,47.69326,26.77955,50.7848,37.82623,4.42473,0.75919,29.40027,44.48115,15.25362,30.59863,90.9121,94.17015,244.16723,149.2779,195.50036,244.83677,244.83677,4.08053,82.59605,10.92685,4.98658,19.407269,-99.190754,2264
090110001,01/05/2009,10,11,21,9,9,18,1,2,3,1,2,3,9,9,18,19.08628,48.45093,26.62917,56.34664,45.31062,1.88844,0.85147,29.98349,47.06224,17.2679,30.79477,98.53616,93.3255,803.52334,130.41815,188.80974,237.44624,237.44624,3.884,43.71151,10.81415,5.95234,19.270566,-99.004846,2249
090130001,01/05/2009,19,20,39,17,18,35,2,2,4,3,1,4,16,19,35,19.02548,47.94732,26.1979,49.91798,38.90049,3.8059,0.82355,30.29945,48.24566,18.13794,30.37381,94.34904,90.98737,352.0883,142.37003,198.12689,245.60304,245.60304,3.9049,60.04074,10.87872,5.532,19.263462,-99.104913,2237
090140001,01/05/2009,2,2,4,2,1,3,0,1,1,1,1,2,1,1,2,19.17935,47.41221,26.34575,50.0105,37.42232,4.12459,0.81789,30.36702,47.41424,17.22631,30.51129,91.55151,84.50062,262.45973,142.43041,202.7202,251.03481,251.03481,4.09373,71.67636,11.12458,5.09076,19.371992,-99.157853,2238
090060001,01/05/2009,9,9,18,9,9,18,0,0,0,2,1,3,7,8,15,19.75739,47.12301,25.22722,51.24318,38.40477,3.98657,0.86727,31.02645,47.964,17.13254,31.83421,92.37086,86.75603,249.22794,146.85849,209.28368,257.76671,257.76671,4.0682,76.12542,11.67027,5.05234,19.395901,-99.097612,2233
090050001,01/05/2009,59,36,95,53,34,87,6,2,8,11,10,21,48,26,74,19.64628,46.97961,26.58776,54.58744,34.7909,3.79916,0.79241,30.41256,49.0983,18.8627,31.33691,89.81082,87.28178,295.08854,144.37782,224.95034,277.56563,277.56563,4.06315,77.31909,11.5563,5.05281,19.482945,-99.113471,2229
090030001,01/05/2009,14,14,28,13,12,25,1,2,3,4,3,7,10,11,21,18.87053,47.50797,26.49763,48.70837,36.44171,4.05082,0.78134,29.78483,46.65815,17.07341,29.78533,91.28546,82.14629,268.03598,131.99053,199.88464,247.16097,247.16097,3.95519,65.34008,10.9524,5.16058,19.350214,-99.162146,2247
090150001,01/05/2009,12,15,27,11,14,25,1,1,2,3,4,7,9,11,20,19.73687,47.25085,26.68742,52.77463,33.62555,4.66502,0.81586,32.4426,50.39505,18.0271,31.69282,91.9582,93.0845,279.10609,143.60426,185.02053,239.93264,239.93264,3.8552,75.98737,11.55871,4.9834,19.441646,-99.151884,2230
090040001,01/05/2009,4,0,4,4,0,4,0,0,0,1,0,1,3,0,3,16.96712,47.25911,27.00546,49.46058,44.90183,4.14485,0.69915,28.10157,42.1954,14.29814,27.78045,86.10304,99.06881,262.32898,141.75558,187.50617,234.86422,234.86422,3.78933,79.29037,9.1549,5.9767,19.35735,-99.299792,2780
090080001,01/05/2009,4,2,6,3,1,4,1,1,2,1,1,2,3,1,4,18.38709,47.54252,26.60512,46.64001,40.22559,3.549,0.5604,25.78618,36.59246,11.19165,28.95309,88.7991,92.40008,243.67457,152.43109,147.42176,192.24674,192.24674,3.09431,68.22649,10.59176,5.51152,19.304898,-99.241515,2520
