LAT_DECIMAL,LON_DECIMAL,Cluster
19.232222,-99.221666,2
19.197777,-99.239722,2
19.266478,-99.29346,2
19.210103,-99.083681,1
19.164061,-99.043386,1
19.23612,-99.20492,2
19.235306,-99.142213,1
19.201065,-99.163703,2
19.203908,-99.205652,2
19.22686,-99.075681,1
19.260013,-99.301241,2
19.216037,-99.225699,2
19.21787,-99.107097,1
19.232204,-99.137469,1
19.294861,-99.347621,2
19.233268,-99.068579,1
19.264672,-99.086559,1
19.324147,-98.976726,1
19.188889,-99.174166,2
19.235,-99.052778,1
19.23616,-99.077379,1
19.226127,-99.007307,1
19.183378,-99.14931,1
19.208634,-99.233142,2
19.210852,-99.169125,2
19.300859,-99.267322,2
19.245319,-99.242268,2
19.223561,-99.14082,1
19.299906,-99.266192,2
19.239147,-99.053035,1
19.180687,-99.028341,1
19.196514,-99.046166,1
19.364182,-99.316977,0
19.181889,-99.012279,1
19.169296,-99.158407,1
19.190354,-99.051197,1
19.316111,-99.017777,1
19.183525,-99.014849,1
19.363721,-99.318668,0
19.219037,-99.007713,1
19.266109,-99.245475,2
19.204945,-99.08104,1
19.179896,-99.061715,1
19.18345,-99.019241,1
19.18886,-99.053001,1
19.177629,-99.232573,2
19.305689,-99.001649,1
19.256444,-99.054895,1
19.20452,-99.191803,2
19.208381,-99.232808,2
19.232232,-99.192062,2
19.23141,-99.131317,1
19.301048,-99.006088,1
19.215639,-99.043611,1
19.217092,-99.223955,2
19.220135,-98.967231,1
19.284332,-99.274487,2
19.192045,-99.170728,2
19.132584,-99.270744,2
19.105169,-99.194914,1
19.195179,-99.237627,2
19.225828,-99.003219,1
19.149597,-99.21834,2
19.172046,-99.02762,1
19.217432,-99.165539,2
19.312778,-98.972777,1
19.211003,-99.107557,1
19.1829,-99.232063,2
19.206186,-99.156643,1
19.177716,-99.02007,1
19.34522,-99.312826,0
19.167134,-99.00562,1
19.154588,-99.162123,1
19.232119,-99.233295,2
19.202219,-99.207354,2
19.257411,-99.312969,2
19.259697,-99.244446,2
19.310259,-99.022901,1
19.217934,-99.154858,2
19.183551,-99.035123,1
19.286082,-99.269733,2
19.180852,-99.020207,1
19.235151,-99.214716,2
19.164733,-99.028284,1
19.169584,-99.026133,1
19.172511,-99.019099,1
19.183856,-99.020042,1
19.253965,-99.245446,2
19.194846,-99.063764,1
19.173942,-99.065664,1
19.186271,-99.098384,1
19.308524,-98.98256,1
19.207311,-99.230207,2
19.368029,-99.305801,0
19.213861,-99.227694,2
19.213287,-99.226963,2
19.219314,-99.044611,1
19.162299,-99.157511,1
19.218989,-98.968043,1
19.25824,-99.25032,2
19.195734,-99.20307,2
19.166865,-99.07272,1
19.261987,-99.072856,1
19.339002,-99.301741,0
19.203067,-99.032989,1
19.237216,-99.056995,1
19.216637,-99.049409,1
19.184194,-99.219512,2
19.185501,-99.009858,1
19.201156,-99.234727,2
19.266454,-99.249226,2
19.22612,-99.057979,1
19.209167,-99.136944,1
19.244597,-99.131992,1
19.208286,-99.104842,1
19.23409,-99.04954,1
19.369901,-99.310732,0
19.161442,-98.990026,1
19.232777,-99.133055,1
19.220473,-99.2906,2
19.208679,-99.106927,1
19.23262,-99.009732,1
19.228535,-99.136066,1
19.207135,-99.079148,1
19.208145,-99.208103,2
19.305394,-99.014751,1
19.20021,-99.226537,2
19.312642,-99.276543,2
19.200292,-99.095664,1
19.229107,-99.008803,1
19.163558,-99.159781,1
19.190165,-99.0352,1
19.204248,-99.222662,2
19.201088,-99.037048,1
19.182289,-99.102044,1
19.229237,-99.267239,2
19.271607,-99.009983,1
19.204684,-99.105993,1
19.167499,-99.167499,1
19.210793,-99.231419,2
19.374896,-99.303373,0
19.174913,-99.162461,1
19.209366,-99.003436,1
19.174516,-99.039736,1
19.186792,-99.233325,2
19.305,-99.344662,2
19.184109,-99.158422,1
19.331581,-99.302038,0
19.198985,-99.111584,1
19.197827,-99.035794,1
19.190294,-99.18081,2
19.187964,-99.223107,2
19.228087,-99.141708,1
19.202343,-99.102567,1
19.189079,-99.165656,1
19.170701,-99.026443,1
19.31974,-99.019294,1
19.217806,-99.147536,1
19.223556,-99.077352,1
19.292886,-99.254414,2
19.282815,-99.287957,2
19.317737,-99.274487,2
19.183609,-99.145074,1
19.176445,-99.076564,1
19.216738,-99.171254,2
19.21506,-99.229778,2
19.197781,-99.229972,2
19.185162,-99.218451,2
19.184457,-99.167464,1
19.209444,-99.15,1
19.20719,-99.221411,2
19.198443,-99.239651,2
19.321635,-99.27311,2
19.209308,-99.149627,1
19.250566,-99.217294,2
19.213889,-99.085124,1
19.248999,-99.247901,2
19.170215,-99.038089,1
19.16374,-99.169429,1
19.17161,-99.045868,1
19.202585,-99.174175,2
19.18823,-99.171417,2
19.214276,-99.079905,1
19.180971,-99.016638,1
19.237378,-99.189086,2
19.192768,-99.148981,1
19.184978,-99.055288,1
19.15686,-99.074015,1
19.227152,-99.229021,2
19.190641,-99.233475,2
19.199794,-99.232885,2
19.2176,-99.066621,1
19.22634,-99.138146,1
19.223392,-99.006506,1
19.136083,-99.22342,2
19.189551,-99.151756,1
19.298428,-99.252909,2
19.236863,-99.054542,1
19.218535,-99.227974,2
19.205565,-98.9722,1
19.197931,-99.065007,1
